Identifiant espace vert;Typologie d'espace vert;Catégorie;Adresse - Numéro;Adresse - Complément;Adresse - type voie;Adresse - Libellé voie;Code postal;Surface calculée;Superficie totale réelle;Surface horticole;Présence cloture;Périmètre;Année de l'ouverture;Année de rénovation;Ancien nom de l'espace vert;Année de changement de nom;Nombre d'entités;Ouverture 24h_24h;ID_DIVISION;ID_ATELIER_HORTICOLE;IDA3D_ENB;SITE_VILLES;ID_EQPT;Compétence
11566;Murs végétalisés;Murs vegetalises;53;;RUE DES;RONDEAUX;75020;202;;;Non;623.61806357;2011;;;;1;;120;46;JDE9439;SV;9439;CP
200;Périphérique;Talus;0;;;;75012;2242;;;Non;526.27148036;;;;;1;;9;;0;0;0;0
11571;Périphérique;Talus;0;;;;75012;802;;;Non;415.37469468;;;;;1;;9;;0;0;0;0
11576;Périphérique;Talus;0;;;;75012;266;;;Non;174.61610388;;;;;1;;9;;0;0;0;0
210;Périphérique;Talus;0;;;;75012;459;;;Non;179.20020724;;;;;1;;9;;0;0;0;0
205;Périphérique;Talus;0;;;;75012;39;;;Non;28.18135852;;;;;1;;9;;0;0;0;0
11595;Périphérique;Talus;0;;;;75017;2404;;;Non;415.95906567;;;;;1;;999;;0;0;0;0
11628;Périphérique;Talus;0;;;;75015;500;;;Non;145.50099951;;;;;1;;9999;;0;0;0;0
391;Périphérique;Talus;0;;;;75015;328;;;Non;166.49702124;;;;;1;;9999;;0;0;0;0
11712;Murs végétalisés;Murs vegetalises;34;;RUE;ERARD;75012;3;;;Non;15.18461233;2015;;;;4;;111;15;JDE9904;SV;9904;CA
11825;Décorations sur la voie publique;Jardiniere;6;V;AVENUE DE LA;PORTE DE SAINT CLOUD;75016;1401;1400;1400;Non;544.26725831;2015;;;;12;;116;32;JDE10411;SV;10411;CA
11739;Promenades ouvertes;Promenade;8;;BOULEVARD DE;REIMS;75017;2675;4100;1972;Oui;224.33013972;1985;;;;0;Oui;117;35;202261;4874;3442;CA
11741;Décorations sur la voie publique;Jardiniere;2;V;AVENUE DE LA;PORTE DE LA CHAPELLE;75018;3028;3750;3750;Non;1323.39643143;2013;;;;11;;118;39;JDE9343;SV;9343;CA
80;Promenades ouvertes;Esplanade;2;;ESPLANADE;HABIB BOURGUIBA;75007;9729;9640;5123;Non;1136.33109521;1941;;PROMENADE QUAI D'ORSAY;2003;1;Oui;101;6;45872;4154;4972;CP
11795;Promenades ouvertes;Jardin;40;;RUE;BICHAT;75010;9260;9400;5800;Oui;;2016;;;;1;Non;104;10;357247;5745;11017;CP
11839;Ephémères, partagés, pédagogiques;Jardin partage;71;BIS;BOULEVARD;VOLTAIRE;75011;128;150;150;Oui;;2016;;JARDIN PARTAGE TIBHERINE;;1;;111;11;0;3202;0;0
11851;Ephémères, partagés, pédagogiques;Jardin partage;17;;BOULEVARD;JOURDAN;75014;422;300;300;Oui;;;;LE JARDIN DU MONDE;;1;Non;114;21;0;1;0;0
11881;Murs végétalisés;Murs vegetalises;43;;RUE DES;PETITS CARREAUX;75002;3;30;30;Non;;2016;;JARDINETS ANGLE DES RUES DES PETITS CARREAUX - ABOUKIR;;0;;101;1;JDE9561;SV;9561;CA
11923;Ephémères, partagés, pédagogiques;Jardin partage;2;;SQUARE DES;CARDEURS;75020;759;750;750;Non;;;;JARDIN SOLEIL BLAISE;;1;;120;46;0;0;0;0
11928;Ephémères, partagés, pédagogiques;Jardin partage;143;;RUE DE LA;ROQUETTE;75011;172;300;300;Oui;;;;;;1;;111;12;314634;2012;3507;0
11900;Ephémères, partagés, pédagogiques;Jardin partage;10;;RUE;ALBERT ROUSSEL;75017;38;650;650;Oui;;2018;;LE MALES'HERBES;;1;Non;117;36;353258;4569;10413;CA
11943;Décorations sur la voie publique;Jardiniere;64;;RUE DU;CHEVALERET;75013;902;1000;1000;Non;;2019;;JARDINIERES DE LA PROMENADE PLANTEE TOLBIAC CHEVALERET;;5;;113;18;JDE8344;SV;8344;CA
11805;Décorations sur la voie publique;Jardiniere;18;B;RUE DE;CHATEAUDUN;75009;20;20;20;Non;;2019;;;;2;;104;8;JDE10250;SV;10250;CA
11886;Murs végétalisés;Murs vegetalises;37;;BOULEVARD;SAINT MARTIN;75003;7;;;Non;;2019;;;;3;;101;2;JDE9567;SV;9567;CA
11993;Murs végétalisés;Murs vegetalises;1;;BOULEVARD DU;GENERAL JEAN SIMON;75013;;;;Non;;2019;;;;1;;113;17;JDE11545;SV;11545;CP
11994;Murs végétalisés;Murs vegetalises;58;;RUE;LHOMOND;75005;;;;Non;;2019;;;;1;;113;4;JDE11546;SV;11546;CP
12011;Murs végétalisés;Murs vegetalises;32;;RUE;BERGER;75001;;140;140;Non;;2018;;JARDIN NELSON MANDELLA;;1;OUI;101;1;0;SV;0;CP
12017;Murs végétalisés;Murs vegetalises;9;;BOULEVARD;HENRI IV;75004;;195;195;Non;;2016;;SQUARE HENRI GALLI;;4;;101;3;0;SV;0;0
12056;Murs végétalisés;Murs vegetalises;2;;RUE;JOSEPH KESSEL;75012;;175;175;Non;;2015;;PARC DE BERCY;;1;;111;14;0;766;0;0
12106;Murs végétalisés;Murs vegetalises;26;;PLACE DE;BRAZZAVILLE;75015;;31;31;Non;;2015;;SQUARE BELA BARTOK;;1;;115;26;0;3542;0;0
12170;Décorations sur la voie publique;Jardiniere;12;;RUE DES;JONQUILLES;75014;;;;Non;;2019;;;;1;;114;23;JDE11682;SV;11682;CP
12920;Murs végétalisés;Murs vegetalises;131;;BOULEVARD;MACDONALD;75019;;;;Non;;9999;;;;1;;119;41;JDE11879;SV;11879;CP
12929;Décorations sur la voie publique;Jardiniere;73;;RUE;JEAN BAPTISTE PIGALLE;75009;8;9;9;Non;;2020;;;;1;;104;8;JDE11943;SV;11943;CA
12948;Décorations sur la voie publique;Jardiniere;1;V;PLACE;PIGALLE;75009;294;;;Non;;9999;;;;0;;104;8;JDE12030;SV;12030;CP
59;Promenades ouvertes;Square;1;;PLACE;SAINT GERMAIN DES PRES;75006;606;590;397;Oui;109.64935426;1909;;;1934;1;Non;114;5;44943;322;3631;CA
33;Promenades ouvertes;Square;20;B;RUE;MONGE;75005;3986;4328;1828;Oui;363.5641732;1868;;;;1;Non;113;4;44231;1894;3657;CA
122;Promenades ouvertes;Square;11;;SQUARE;ALBAN SATRAGNE;75010;5229;5285;2600;Oui;364.30020895;1954;2020;;;1;Non;104;10;47411;576;3448;CA
158;Promenades ouvertes;Square;11;;CITE DE;PHALSBOURG;75011;476;467;165;Oui;98.07255262;2004;;SQUARE FROT-PHALSBOURG;2021;1;Non;111;12;48929;751;3478;CA
187;Promenades ouvertes;Square;17;;RUE;HECTOR MALOT;75012;2307;2217;716;Oui;215.13009952;1995;;;;1;Non;111;15;50504;85;3604;CA
279;Promenades ouvertes;Square;10;;PLACE;DENFERT ROCHEREAU;75014;2493;2535;1624;Oui;281.50726504;1894;;;1979;1;Oui;114;5;55108;34;3481;CA
305;Promenades ouvertes;Square;15;;AVENUE;GEORGES LAFENESTRE;75014;1187;800;800;Non;235.80099368;1990;;;;1;Oui;114;23;54518;3091;3464;CA
302;Promenades ouvertes;Jardin;30;;RUE;GUILLEMINOT;75014;1622;1650;78;Non;216.31916969;1987;;;;1;Oui;114;22;55529;1484;3385;CA
764;Promenades ouvertes;Square;3;;RUE;ELISA BOREY;75020;2060;2850;730;Oui;293.90576589;1973;;;;1;Oui;120;44;68128;893;3574;CA
10140;Promenades ouvertes;Jardin;9;;RUE DE L';INDUSTRIE;75013;1732;1678;1246;Oui;196.14634431;2007;;TAGE - INDUSTRIE;2007;1;Non;113;20;54110;23;6245;CA
11231;Promenades ouvertes;Jardin;20;Q;RUE DU;DEPARTEMENT;75018;1040;1010;645;Oui;197.7826429;2015;;SQUARE DU 20 RUE DU DEPARTEMENT;2016;1;Non;118;39;194163;3736;7775;CA
10074;Promenades ouvertes;Square;34;;RUE;GODEFROY CAVAIGNAC;75011;620;520;160;Oui;121.54885652;2006;;SQUARE GODEFROY-CAVAIGNAC;;1;Non;111;11;48605;266;3602;CA
51;Jardinets décoratifs;Square;36;;RUE DE LA;BUCHERIE;75005;409;692;536;Oui;119.42227707;1929;;SQUARE QUAI DE MONTEBELLO;2013;1;Non;113;4;44537;3987;3779;CA
192;Jardinets décoratifs;Square;1;W;PLACE;EDOUARD RENARD;75012;1589;1814;1310;Non;196.86906463;1931;;;;1;;111;16;49993;4286;3543;CA
161;Jardinets décoratifs;Jardinet;2;;RUE;PIHET;75011;81;98;98;Oui;38.1956667;1978;;;;1;Non;111;11;48937;3199;3715;CA
163;Jardinets décoratifs;Jardinet;87;;BOULEVARD;RICHARD LENOIR;75011;590;740;740;Oui;124.34404882;1994;;;;1;Non;111;11;48632;3857;3756;CA
127;Jardinets décoratifs;Jardinet;2;;RUE;FENELON;75010;619;570;570;Oui;251.6845079;1966;;;;2;Non;104;10;47456;3911;3754;CA
240;Promenades ouvertes;Jardin;28;;AVENUE DE;CHOISY;75013;6020;5800;2110;Oui;693.93867434;1986;2007;;;1;Non;113;17;53239 125322 125339;237;3336;CA
559;Jardinets décoratifs;Jardinet;28;;RUE;GABRIELLE;75018;598;560;560;Oui;99.27844533;;;;;1;Non;118;37;63641;646;3716;CA
10703;Jardinets décoratifs;Jardiniere;223;V;AVENUE;JEAN JAURES;75019;4493;3500;3500;Non;2286.50288401;2007;;;;47;;119;42;67184;4533;5059;CA
218;Périphérique;Talus;2;V;BOULEVARD;PONIATOWSKI;75012;12176;10454;6850;Non;429.06976693;;;;;1;;111;14;0;5752;9402;CP
11348;Promenades ouvertes;Jardin;12;;RUE;LEON SCHWARTZENBERG;75010;1057;992;750;Oui;152.81806235;2015;;JARDIN HISTORIQUE DU CARRE SAINT-LAZARE;2016;1;Non;104;10;249233;576;9664;CA
12;Promenades ouvertes;Jardin;90;;RUE;VIEILLE DU TEMPLE;75003;1346;1110;320;Oui;150.16108789;1985;2018;JARDIN DE L'HOTEL SALE;2010;1;Non;101;2;42256;20;3361;CA
83;Promenades ouvertes;Esplanade;15;;RUE;FABERT;75007;71999;32800;32720;Non;3051.59186741;1978;;;;1;Oui;101;6;45803;3615;4974;CP
45;Promenades ouvertes;Square;20;;RUE DE;BIEVRE;75005;379;373;198;Oui;89.6145806;1978;;JARDIN DE LA RUE DE BIEVRE;2012;1;Non;113;4;43808;3589;3348;CA
110;Promenades ouvertes;Square;1;;PLACE D';ESTIENNE D ORVES;75009;3446;3164;615;Oui;246.0939109;1865;;DE LA TRINITE;1994;1;Non;104;8;46911;3825;3526;CA
11353;Décorations sur la voie publique;Jardiniere;92;bV;QUAI DE;BERCY;75012;254;260;260;Non;64.33957282;2015;;;;1;;111;14;JDE9535;SV;9535;CA
10367;Décorations sur la voie publique;Jardiniere;1;V;AVENUE DE LA;SOEUR ROSALIE;75013;143;120;120;Non;124.77265879;;;;;1;;113;19;JDE7320;SV;7320;CA
242;Promenades ouvertes;Square;15;;RUE;DUCHEFDELAVILLE;75013;6952;6992;6383;Oui;407.64419747;1988;;CHEVALERET - JEANNE D'ARC;1988;1;Non;113;18;52979;4065;3606;CA
247;Promenades ouvertes;Jardin;79;;BOULEVARD;KELLERMANN;75013;8382;6180;4220;Oui;549.92649921;1994;;JARDIN THOMIRE;1997;1;Non;113;20;52329;220;3405;CA
469;Promenades ouvertes;Square;10;;VILLA;SAINTE CROIX;75017;3332;3390;2020;Oui;271.27556789;1994;;;;1;Non;117;36;76595;3993;3527;CA
298;Promenades ouvertes;Square;148;;RUE;VERCINGETORIX;75014;4707;4790;3377;Non;511.21358275;1979;;JARDIN VERCINGETORIX SUD;1997;1;Oui;114;22;55433;4293;3609;CA
396;Promenades ouvertes;Jardin;5;;PLACE DU;MARECHAL DE LATTRE DE TASSIGNY;75016;8145;7850;6699;Non;321.0638883;1959;;;;1;Oui;116;30;59763;4303;5012;CA
417;Promenades ouvertes;Jardin;1;;AVENUE DE;POLOGNE;75016;4196;4080;2656;Oui;284.4942716;1977;2010;ILOT 14;1992;1;Oui;116;30;59833;4113;3388;CA
654;Promenades ouvertes;Jardin d'immeubles;18;;RUE DE LA;MARSEILLAISE;75019;6593;6120;2976;Non;625.10591646;1964;;;;1;Oui;119;41;65775;2268;3376;CA
535;Promenades ouvertes;Square;30;;RUE;MARC SEGUIN;75018;2120;2127;647;Oui;254.66888304;1937;;;;1;Non;118;39;62719;4152;3491;CA
412;Promenades ouvertes;Square;1;;PLACE DE LA;PORTE MAILLOT;75016;24683;23595;12926;Oui;731.48711538;1958;1972;SQUARE DE L'AMIRAL BRUIX;1997;1;Oui;116;30;60400;4309;5017;CP
885;Jardinets décoratifs;Plate-bande;8;;RUE;VICTOR SCHOELCHER;75014;165;615;615;Oui;299.75404885;;;;;1;Non;114;5;55226;1678;3815;CA
817;Promenades ouvertes;Jardin;4;B;PLACE;SAINT-BLAISE;75020;197;192;84;Oui;64.10630827;1988;;JARDINET DE L EGLISE SAINT GERMAIN DE CHARONNE;;1;Non;120;46;69786;327;3728;CA
561;Jardinets décoratifs;Jardin;25;;RUE;CHAPPE;75018;698;875;170;Oui;113.96625528;1982;;;;1;Non;118;37;63916;4138;3364;CA
11125;Murs végétalisés;Murs vegetalises;41;;RUE;SAINT ANDRE DES ARTS;75006;0;;;Non;8.600133660000001;2008;;;;1;;114;5;JDE7202;SV;7202;CP
10081;Promenades ouvertes;Jardin;45;BIS;AVENUE DE LA;BELLE GABRIELLE * NOGENT FONTENAY;75012;82086;;;Oui;1298.35591768;;;;;1;Non;7;50;51686;3705;6944;CP
11081;Etablissements sportifs;Espace Vert;6;;AVENUE;BRUNETIERE;75017;1652;1048;1048;Oui;635.76802378;;;;;1;Non;117;35;0;3977;2826 DJS;CA
11244;Décorations sur la voie publique;Jardiniere;25;;PASSAGE;NATIONAL;75013;60;34;34;Non;54.0598568;2010;;;;2;;113;17;JDE7966;SV;7966;CA
10350;Décorations sur la voie publique;Decoration;28;V;AVENUE DE LA;PORTE D'ITALIE;75013;127;100;100;Non;55.88055437;;;;;1;;113;20;JDE7307;SV;7307;CA
10804;Décorations sur la voie publique;Jardiniere;6;S;PLACE;RAOUL DAUTRY;75015;1312;1100;1100;Non;312.71856755;;;;;4;;115;24;JDE7411;SV;7411;CA
10207;Décorations sur la voie publique;Jardiniere;1;;RUE  DE;THORIGNY;75003;28;28;28;Non;20.91081547;;;;;1;;101;2;JDE7125;SV;7125;CA
10259;Décorations sur la voie publique;Decoration;17;;RUE DE;PONTOISE;75005;11;11;11;Non;58.200417;;;;;10;;113;4;JDE7187;SV;7187;CA
10299;Décorations sur la voie publique;Jardiniere;11;;AVENUE DE;VERDUN;75010;506;573;573;Non;100.01099313;;;;;1;;104;10;JDE7227;SV;7227;CA
11201;Murs végétalisés;Murs vegetalises;23;;AVENUE;RENE FONCK;75019;82;;;Non;235.40616048;2005;;;;1;;119;43;JDE7567;SV;7567;CP
407;Promenades ouvertes;Square;46;;BOULEVARD DE L;AMIRAL BRUIX;75016;5039;3650;2303;Non;394.47958368;1932;1976;;1934;1;Oui;116;30;60216;1024;3460;CA
10165;Promenades ouvertes;Jardin;27;;PLACE;SAINT-GEORGES;75009;382;540;540;Oui;122.9285685;2017;;;;1;Non;104;8;0;3741;10394;CP
314;Jardinets décoratifs;Jardinet;18;V;ALLEE;SAMUEL BECKETT;75014;5082;2461;2461;Non;2918.79035471;1859;;;;40;;114;21;54707 54712 55709;373;3443;CA
11121;Murs végétalisés;Jardiniere;8;;RUE;SAINT-BON;75004;1;;;Non;4.86435816;;;;;1;;101;3;JDE7152;SV;7152;CP
10794;Décorations sur la voie publique;Decoration;2;;PLACE;CAMILLE CLAUDEL;75015;36;40;40;Non;27.28480244;;;;;1;;115;24;JDE7400;SV;7400;CA
11143;Murs végétalisés;Murs vegetalises;32;;RUE;BREGUET;75011;0;;;Non;1.6001661999999999;2007;;;;1;;111;11;JDE7262;SV;7262;CP
10909;Décorations sur la voie publique;Plate-bande;28;B;BOULEVARD DE;MENILMONTANT;75020;600;582;582;Non;623.85630214;;;;;1;;120;44;JDE7569;SV;7569;CA
10921;Décorations sur la voie publique;Jardiniere;23;;RUE DES;TOURELLES;75020;353;510;510;Non;200.61127124;;;;;5;;120;45;JDE7582;SV;7582;CA
10838;Décorations sur la voie publique;Jardiniere;2;V;PLACE DE L';AMIRAL DE GRASSE;75016;15;15;15;Non;20.43068467;;;;;1;;116;33;JDE7461;SV;7461;CA
10312;Décorations sur la voie publique;Decoration;1;;RUE;SAINT BERNARD;75011;148;166;166;Non;159.16499289;;;;;10;;111;11;JDE7253;SV;7253;CA
10004;Cimetières;Cimetière;261;;ROUTE DE;FONTAINEBLEAU;94320;1110935;1033600;;Oui;4307.42759801;1929;;;;1;Non;11;152;72590;A94073;5089;CP
10007;Cimetières;Cimetière;38;;AVENUE DU;PRESIDENT WILSON;93210;21737;21000;;Oui;592.89092907;1850;;;;1;Non;14;156;73461;A93066;5086;CP
10132;Bois;Bois;2;;CARREFOUR DE LA;PYRAMIDE;75012;9284926;;;Non;21983.98018545;;;;;1;;7;;51679;3705;6940;CP
11253;Décorations sur la voie publique;Jardiniere;6;;RUE;DROUOT;75009;39;16;16;Non;67.27013709;2009;;;;2;;104;8;JDE8172;SV;8172;CA
11322;Promenades ouvertes;Square;23;W;ROUTE DU;LAC DE SAINT-MANDE;75012;3858;3859;;Oui;287.54767939;;;Boules St Mande;;1;Non;7;48;51736;3705;7803;CP
10753;Décorations sur la voie publique;Jardiniere;12;;RUE;DUSSOUBS;75002;94;95;95;Non;81.22531559;2008;;;;1;;101;1;JDE6140;SV;6140;CA
10972;Décorations sur la voie publique;Jardiniere;12;;RUE DU;PREVOT;75004;3;3;3;Non;8.46105159;2008;;;;1;;101;3;JDE7149;SV;7149;CA
10694;Décorations sur la voie publique;Jardiniere;8;;RUE;BEETHOVEN;75016;26;30;30;Non;50.35372598;;;;;8;;116;33;JDE7467;SV;7467;CA
10705;Décorations sur la voie publique;Decoration;5;V;AVENUE DE LA;PORTE DE BAGNOLET;75020;202;192;192;Non;60.58375847;;;;;1;;120;45;JDE7570;SV;7570;CA
257;Jardinets décoratifs;Jardinet;4;V;BOULEVARD;AUGUSTE BLANQUI;75013;907;942;853;Oui;202.03614983;1911;;JARDINETS DU BOULEVARD AUGUSTE BLANQUI;2016;2;Non;113;19;52184;3084;3722;CA
11028;Décorations sur la voie publique;Jardiniere;9;;RUE;MAZAGRAN;75010;13;27;27;Non;19.76070581;2007;;;;1;;104;10;JDE7234;SV;7234;CA
10991;Décorations sur la voie publique;Jardiniere;1;;AVENUE DE LA;PORTE DE VINCENNES;75020;1984;2055;2055;Non;930.19736846;2008;;;;22;;120;47;JDE7590;SV;7590;CA
11227;Décorations sur la voie publique;Decoration;3;;SENTE DES;DOREES;75019;402;380;380;Non;107.82110034;2009;;;;1;;119;41;JDE7602;SV;7602;CA
10791;Jardins privatifs;Jardin;5;BIS;AVENUE;MAURICE D'OCAGNE;75014;24975;27187;15300;Oui;1513.43573717;;;;;1;Non;114;23;0;3091;8097 DASCO;CP
364;Promenades ouvertes;Square;21;;RUE DU;COTENTIN;75015;8769;9898;3682;Oui;587.63496711;1985;2008;JARDIN ZAC VAUGIRARD;1997;1;Non;115;24;55892;3229;3665;CA
11410;Ephémères, partagés, pédagogiques;Jardin partage;11;;RUE;CLAUDE DECAEN;75012;476;473;473;Oui;107.71303418;2013;;JARDIN DES DEUX LAURIERS;;1;Non;111;13;119092;3877;6633;CA
426;Jardinets décoratifs;Jardinet;18;;RUE;GROS;75016;435;490;490;Oui;228.39909063;;;JARDINET DE LA RUE GROS;;1;Non;116;32;107742;4003;3787;CA
445;Promenades ouvertes;Square;9;;PLACE DU;MARECHAL JUIN;75017;4447;4780;4045;Non;252.13861303;1930;;;1935;1;Oui;117;34;61861;401;3449;CA
10966;Promenades ouvertes;Square;22;;RUE;ANDRE BRECHET;75017;2098;2200;820;Oui;250.2733748;2009;;SQUARE ANDRE BRECHET ex MAIL BRECHET;2021;1;Non;117;35;62039;1596;6256;CA
11445;Murs végétalisés;Murs vegetalises;28;;RUE DES;DAMES;75017;2;;;Non;7.96614324;2009;;;;1;;117;36;JDE9426;SV;9426;CA
11448;Décorations sur la voie publique;Jardiniere;29;;PASSAGE;CHARLES ALBERT;75018;23;22;22;Non;23.35960327;2012;;;;1;;118;38;JDE9442;SV;9442;CA
11183;Murs végétalisés;Murs vegetalises;22;;AVENUE DE;CLICHY;75018;18;;;Non;44.46147268;2007;;;;1;;118;37;JDE7516;SV;7516;CP
11537;Décorations sur la voie publique;Jardiniere;23;V;RUE DE;TURBIGO;75002;34;35;35;Non;29.27502576;2017;;;;2;;101;1;JDE9928;SV;9928;CA
725;Périphérique;Talus;0;;;;75019;605;;;Non;253.9843204;;;;;1;;999;;0;0;0;0
11234;Promenades ouvertes;Jardin;20;;RUE DE;FONTARABIE;75020;1215;1000;873;Oui;177.61961038;2014;;JARDIN PASSAGE FREQUEL - RUE DE FONTARABIE;2016;1;Oui;120;46;194175;5573;7813;CA
806;Périphérique;Talus;0;;;;75020;6827;;;Non;1152.42435014;;;;;1;;9;;0;0;0;0
11559;Périphérique;Talus;0;;;;75020;560;;;Non;246.08889234;;;;;1;;9;;0;0;0;0
814;Périphérique;Talus;0;;;;75020;316;;;Non;199.58225575;;;;;1;;9;;0;0;0;0
11204;Murs végétalisés;Murs vegetalises;65;;BOULEVARD;MORTIER;75020;3;;;Non;16.83480238;2005;;;;1;;120;45;JDE7595;SV;7595;CP
203;Périphérique;Talus;0;;;;75012;2073;;;Non;255.58566633;;;;;1;;9;;0;0;0;0
214;Périphérique;Talus;0;;;;75012;469;;;Non;168.90223079;;;;;1;;9;;0;0;0;0
640;Périphérique;Talus;0;;;;75018;951;;;Non;250.05481741;;;;;1;;999;;0;0;0;0
11613;Périphérique;Talus;0;;;;75013;2128;;;Non;742.87269791;;;;;1;;9;;0;0;0;0
381;Périphérique;Talus;0;;;;75015;1061;;;Non;245.03842301;;;;;1;;9999;;0;0;0;0
11642;Périphérique;Talus;0;;;;75016;114;;;Non;85.32225577;;;;;1;;9999;;0;0;0;0
433;Périphérique;Talus;0;;;;75016;162;;;Non;89.74971347;;;;;1;;9999;;0;0;0;0
11661;Périphérique;Talus;0;;;;75016;609;;;Non;246.20616203;;;;;1;;9999;;0;0;0;0
11711;Murs végétalisés;Murs vegetalises;44;;RUE DES;MEUNIERS;75012;0;;;Non;2.80336821;2016;;;;1;;111;13;JDE9605;SV;9605;CA
11794;Promenades ouvertes;Promenade;109;;RUE DE;SAUSSURE;75017;14115;14000;;Oui;;2019;;;;1;Non;117;35;340477;5888;10564;CP
11806;Décorations sur la voie publique;Jardiniere;3;Z;VILLA;MARCES;75011;97;100;100;Non;;2018;;;;8;;111;11;JDE10729;SV;10729;CA
11811;Décorations sur la voie publique;Jardiniere;2;Z;RUE;MARIE SKOBTSOV;75015;417;432;432;Non;;2016;;;;12;;115;26;JDE10631;SV;10631;CA
11823;Décorations sur la voie publique;Jardiniere;2;V;PLACE DES;FETES;75019;165;160;160;Non;;2017;;;;3;;119;43;JDE10711;SV;10711;CA
11836;Ephémères, partagés, pédagogiques;Jardin partage;9;;RUE;JULES VERNE;75011;86;350;350;Oui;;2009;;CENTRE DELA TERRE;;1;;111;12;237565;687;3627;0
11848;Ephémères, partagés, pédagogiques;Jardin partage;1;;RUE;GEORGE EASTMAN;75013;66;100;100;Oui;;2011;;JARDIN PARTAGE CHOISI;;4;Non;113;163;237571;3699;0;0
11896;Murs végétalisés;Murs vegetalises;19;;RUE;ROBERT HOUDIN;75011;3;;;Non;;9999;;;;0;;111;12;JDE9595;SV;9595;CA
11903;Murs végétalisés;Murs vegetalises;2;;PASSAGE;LEGENDRE;75017;10;;;Non;;9999;;;;0;;117;36;JDE9625;SV;9625;CA
10234;Décorations sur la voie publique;Jardinet;13;Z;RUE;BUFFON;75005;161;142;142;Non;137.33809723;;;;;5;;113;4;JDE7158;SV;7158;CA
11916;Murs végétalisés;Murs vegetalises;90;;RUE;VIEILLE DU TEMPLE;75003;;;;Non;;2018;;JARDIN DE L'HOTEL SALE - LEONOR FINI;;1;;101;2;0;20;0;CP
11918;Ephémères, partagés, pédagogiques;Jardin partage;7;;AVENUE DE LA;PORTE DE CLIGNANCOURT;75018;284;300;300;Oui;;2014;;;;1;Non;118;38;0;0;0;0
11919;Ephémères, partagés, pédagogiques;Jardin partage;77;;RUE;PIXERECOURT;75020;110;100;100;Oui;;2018;;L'ILOT LEON;;1;Non;120;45;0;212;0;0
11937;Décorations sur la voie publique;Jardiniere;2;;RUE;MAURICE GRIMAUD;75018;315;300;300;Non;;2019;;;;9;;118;38;JDE10716;SV;10716;CA
11799;Murs végétalisés;Murs vegetalises;39;;RUE;GAY-LUSSAC;75005;10;165;165;Non;;2018;;;;11;;113;4;JDE10892;SV;10892;CA
11884;Décorations sur la voie publique;Jardiniere;26;;RUE;DALAYRAC;75002;37;40;40;Non;;2019;;;;0;;101;1;JDE10240;SV;10240;CA
11303;Décorations sur la voie publique;Jardiniere;10;;AVENUE;CLAUDE REGAUD;75013;1331;1200;1200;Non;237.90420325;2013;;;;13;;113;17;JDE8345;SV;8345;CA
11971;Promenades ouvertes;Jardin;7;;RUE;LAURE DIEBOLD;75008;2215;1735;1200;Oui;;2019;;;;1;Non;104;8;355246;1307;10864;CA
11780;Promenades ouvertes;Jardin;3;;PASSAGE;EMMA CALVE;75012;4614;4615;3117;Oui;230.55929453;2019;;JARDIN DE LA CASERNE DE REUILLY;2018;1;Non;111;15;336455;3885;10345;CA
10963;Promenades ouvertes;Jardin;6;;SQUARE;ALBAN SATRAGNE;75010;1162;800;196;Oui;163.51354128;2007;2020;EXTENSION DU SQUARE ALBAN SATRAGNE;;1;Non;104;10;203633;576;3321;CA
12009;Murs végétalisés;Murs vegetalises;16;;SQUARE;DESAIX;75015;;;;Non;;9999;;;;0;;115;26;JDE11588;SV;11588;CP
12016;Murs végétalisés;Murs vegetalises;18;;RUE DU;CLOITRE SAINT MERRY;75004;;72;72;Non;;2015;;JARDINIERE DE LA RUE DU CLOITRE SAINT-MERRI;;1;;101;3;0;SV;0;0
12041;Murs végétalisés;Murs vegetalises;159;;RUE DE;CHARONNE;75011;;110;110;Non;;2015;;SQUARE COLBERT;;1;;111;12;0;101;0;0
12051;Murs végétalisés;Murs vegetalises;32;;RUE;NEUVE DES BOULETS;75011;;43;43;Non;;2019;;JARDIN EMILE GALLE;;1;;111;12;0;312;0;0
12089;Murs végétalisés;Murs vegetalises;1;;RUE;DURANTON;75015;;29;29;Non;;2018;;JARDIN DURANTON;;1;;115;25;0;286;0;0
12103;Murs végétalisés;Murs vegetalises;5;;AVENUE DE LA;PORTE BRANCION;75015;;50;50;Non;;2016;;SQUARE BRANCION;;1;;115;28;0;1463;0;0
12108;Murs végétalisés;Murs vegetalises;75;;BOULEVARD;FLANDRIN;75016;;10;10;Non;;2015;;;;1;;116;30;0;4032;0;0
12135;Murs végétalisés;Murs vegetalises;5;;RUE;HECTOR GUIMARD;75019;;31;31;Non;;2017;;MAIL MARCEL ACHARD;;1;;119;42;0;3024;0;0
1;Promenades ouvertes;Jardin;32;;RUE;BERGER;75001;19366;43170;15391;Non;1638.09182222;;;JARDIN DES HALLES;2013;1;Oui;101;1;41598;2157;4953;CP
11412;Décorations sur la voie publique;Jardiniere;25;;RUE DU;CHEVALERET;75013;88;50;50;Non;48.62223626;2016;;;;1;;113;17;JDE9952;SV;9952;CA
11726;Décorations sur la voie publique;Jardiniere;1;Z;RUE;MARIA HELENA VIEIRA DA SILVA;75014;271;270;270;Non;311.63662121;2014;;;;8;;114;23;JDE10399;SV;10399;CA
